period,sales.kg,year,month,day,week,quincena,price,wd,wpd,Variants,TRPs,adstocks,trend1,trend2,y2002
70,1224.843,2003,5,4,18,1,24.8241503611732,6460.44508804925,1163.51369993558,102,1006.05,7852.05976143707,70,4.26267987704132,102
71,1056.649,2003,5,11,19,0,24.8104889133742,6456.96644270127,1064.06901399941,103,710.63,7777.48378529336,71,4.27666611901606,103
72,1299.342,2003,5,18,20,1,24.7380142505583,6428.21581637947,1028.96457281914,103,1119.96,8119.69540676403,72,4.29045944114839,103
73,1117.151,2003,5,25,21,0,24.7030361600074,6391.15899406773,852.710931977502,103,998.32,8306.04586608762,73,4.30406509320417,103
74,1355.08,2003,6,1,22,1,24.5253495971924,6437.17133603752,1067.80190444961,103,1190.81,8666.25127947886,74,4.31748811353631,103
75,1242.781,2003,6,8,23,0,24.6974484994355,6406.9459958554,914.442581155904,102,1058.05,8857.67615153097,75,4.33073334028633,102
76,1200.935,2003,6,15,24,1,24.4523851639714,6452.06809500477,1088.49944344071,101,1261.87,9233.77853637788,76,4.34380542185368,101
77,1182.227,2003,6,22,25,0,24.5961484664562,6419.1841276636,999.912912292531,101,940.81,9251.21068274009,77,4.35670882668959,101
78,1217.914,2003,6,29,26,0,24.2721755041098,6488.74704938955,1216.06371686954,102,1347.12,9673.20961446608,78,4.36944785246702,102
79,1358.36,2003,7,6,27,1,24.648932540905,6491.6235807925,1081.68408394442,101,1002.77,9708.65865301947,79,4.38202663467388,101
80,1220.912,2003,7,13,28,0,24.8378464224109,6446.28738937728,873.904266180704,100,1289.45,10027.2427877175,80,4.39444915467244,100
81,1351.225,2003,7,20,29,1,24.5608198824948,6474.36345058232,1025.92830649444,100,1069.21,10093.7285089458,81,4.40671924726425,100
82,1173.464,2003,7,27,30,0,24.6109985462935,6429.64742912247,1259.37675060356,101,1011.51,10095.8656580512,82,4.4188406077966,101
83,1521.733,2003,8,3,31,1,24.5196388277762,6496.45712513323,1407.34376935062,101,1120.09,10206.3690922461,83,4.43081679884331,101
84,1264.303,2003,8,10,32,0,24.9251220363614,6467.77850749953,1073.84038444746,99,955.25,10140.9821830215,84,4.44265125649032,99
85,1497.617,2003,8,17,33,1,25.0161221982344,6465.56326783409,1149.50570001847,100,814.28,9941.16396471932,85,4.45434729625351,100
86,1298.875,2003,8,24,34,0,24.7285687933861,6424.5475486793,907.959620610529,98,1239.67,10186.7175682474,86,4.46590811865458,98
87,1370.623,2003,8,31,35,1,24.7489916144624,6414.23370943537,820.701286059957,97,903.95,10071.9958114227,87,4.47733681447821,97
88,1341.836,2003,9,7,36,0,24.6306195812023,6380.57911765542,638.839618449279,99,1205.78,10270.5762302804,88,4.48863636973214,99
89,1162.551,2003,9,14,37,0,24.739015370576,6304.89419981268,651.41125722013,99,873.09,10116.6086072524,89,4.49980967033027,99
90,1258.343,2003,9,21,38,1,24.7376360564894,6311.53090518172,668.09306861497,102,783.09,9888.03774652712,90,4.51085950651685,102
91,1110.77,2003,9,28,39,0,24.3160757530581,6251.95453451758,793.208495671941,104,683.74,9582.9739718744,91,4.52178857704904,104
92,1408.6,2003,10,5,40,1,24.2044629654657,6270.46897721282,777.999588391475,106,773.93,9398.60657468696,92,4.53259949315326,106
93,1191.688,2003,10,12,41,0,23.7533240833752,6674.29755658038,1116.73197410648,106,1050.81,9509.55591721827,93,4.54329478227,106
94,1294.593,2003,10,19,42,1,24.0756241023523,6798.09191868256,993.540371292353,106,1344.93,9903.53032549644,94,4.55387689160054,106
95,1047.853,2003,10,26,43,0,24.2125727874929,6943.15082836565,683.63238042193,107,1153.98,10067.1572929468,95,4.56434819146784,107
96,1268.509,2003,11,2,44,1,23.8505989957252,6964.70242175278,1052.17112494814,105,1460.02,10520.4615636521,96,4.57471097850338,105
97,1258.154,2003,11,9,45,0,23.4462802201011,6967.79894377268,1342.98639380557,106,1407.1,10875.5154072869,97,4.58496747867057,106
98,1237.189,2003,11,16,46,1,23.9399140363739,7078.27565461806,1137.39001002378,106,1873.68,11661.6438665582,98,4.59511985013459,106
99,1066.51,2003,11,23,47,0,23.9518642884054,7080.92990274669,1131.4602486521,103,1535.45,12030.9294799024,99,4.60517018598809,103
